Month_Year,Equipment_Used,Equip_Description,Expenditure,Object_Descriptions,Number_of_Obs,Num_of_Planetary_Obs,Num_of_Nebulae,Num_of_StarClusters,Distance_ly,Object_interested,Object_Category,Observation_Time,ISO,Exposure (sec),Remarks,ProblemsFaced,SkillsGained
Nov-18,RefTelescope+Mobile,Celestron Astromaster 90AZ+SONY Xp,"? 15,000.00",Moon and Mars,2,2,0,0,0.00002378,Mars,Planetary,22:00,800,0.500,First planet Observed via telescope,,Assembling equipment and navigation
Dec-18,RefTelescope+Mobile,Celestron Astromaster 90AZ+SONY Xp,-,Venus,1,1,0,0,0.00000423,Venus,Planetary,05:30,800,0.100,Crescent of Venus,Tracking,"Navigation, Photography Manual Settings."
Jan-19,RefTelescope+Mobile,Celestron Astromaster 90AZ+SONY Xp,-,Moon,1,1,0,0,4.063E-08,Moon,Planetary,21:30,800,0.100,Crisp pics of Moon,Focusing,Photography Manual Settings.
Feb-19,-,-,-,-,0,0,0,0,0,NA,-,-,-,-,At work,-,-
Mar-19,-,-,-,-,0,0,0,0,0,NA,-,-,-,-,Lost my Job,-,-
Apr-19,Mobile,Sony Xperia,-,Stars,1,0,0,0,0,NA,Random,20:00,NA,NA,Preparation for Canada PR. Had to put astrophotography on hold.,-,"Night Photography, Navigation and Patience"
May-19,RefTelescope+Mobile,Celestron Astromaster 90AZ+SONY Xp,-,Moon,1,1,0,0,4.063E-08,Moon,Planetary,23:00,400,0.100,Preparation for Canada PR. Had to put astrophotography on hold.,-,-
Jun-19,RefTelescope,Celestron Astromaster 90AZ+SONY,? 800.00,M44 (Beehive Cluster),1,0,0,1,610,M44,Star Clusters,23:00,3200,0.830,First DSO observed. Observed till cluster was visible. Bought maintenance Kit.,Focus and City light Pollution,"ISO, Focus and Sky Navigation"
Jul-19,RefTelescope+Mobile,Celestron Astromaster 90AZ+SONY Xp,-,Moon,1,1,0,0,4.063E-08,Moon,Planetary,00:00,NA,NA,Crisp pics of Moon,-,-
Aug-19,-,-,-,-,0,0,0,0,0,NA,-,-,-,-,Flew back to India and My things shipped to India,-,-
Sep-19,-,-,-,-,0,0,0,0,0,NA,-,-,-,-,My stuff in transit,-,-
Oct-19,-,-,-,-,0,0,0,0,0,NA,-,-,-,-,Reached India,-,-
